Country,Indicator,Year,Estimated,Data
Chad,Prevalence of undernourishment in the population  (%),2004-06,,37.3
Chile,Prevalence of undernourishment in the population  (%),2004-06,1,3.2
China,Prevalence of undernourishment in the population  (%),2004-06,,13.1
Colombia,Prevalence of undernourishment in the population  (%),2004-06,,13.6
Comoros,Prevalence of undernourishment in the population  (%),2004-06,,58.1
"Congo, Dem. Rep.",Prevalence of undernourishment in the population  (%),2004-06,,
"Congo, Rep.",Prevalence of undernourishment in the population  (%),2004-06,,32.9
Costa Rica,Prevalence of undernourishment in the population  (%),2004-06,1,5
Croatia,Prevalence of undernourishment in the population  (%),2004-06,1,2.1
Cuba,Prevalence of undernourishment in the population  (%),2004-06,1,1.1
Côte d'Ivoire,Prevalence of undernourishment in the population  (%),2004-06,,19.6
Djibouti,Prevalence of undernourishment in the population  (%),2004-06,,32.6
Dominican Republic,Prevalence of undernourishment in the population  (%),2004-06,,18.6
Ecuador,Prevalence of undernourishment in the population  (%),2004-06,,21.4
"Egypt, Arab Rep.",Prevalence of undernourishment in the population  (%),2004-06,1,2.2
El Salvador,Prevalence of undernourishment in the population  (%),2004-06,,10.6
Eritrea,Prevalence of undernourishment in the population  (%),2004-06,,74.8
Estonia,Prevalence of undernourishment in the population  (%),2004-06,1,4.3
Ethiopia,Prevalence of undernourishment in the population  (%),2004-06,,47.7
Fiji,Prevalence of undernourishment in the population  (%),2004-06,1,2.9
Gabon,Prevalence of undernourishment in the population  (%),2004-06,,5.8
"Gambia, The",Prevalence of undernourishment in the population  (%),2004-06,1,19.3
Georgia,Prevalence of undernourishment in the population  (%),2004-06,,28.9
Ghana,Prevalence of undernourishment in the population  (%),2004-06,,9.5
Guatemala,Prevalence of undernourishment in the population  (%),2004-06,,29.9
Guinea,Prevalence of undernourishment in the population  (%),2004-06,,17
Guinea-Bissau,Prevalence of undernourishment in the population  (%),2004-06,,18.5
Guyana,Prevalence of undernourishment in the population  (%),2004-06,,9
Haiti,Prevalence of undernourishment in the population  (%),2004-06,,53.5
Honduras,Prevalence of undernourishment in the population  (%),2004-06,,14.2
India,Prevalence of undernourishment in the population  (%),2004-06,,20.9
Indonesia,Prevalence of undernourishment in the population  (%),2004-06,,15.1
"Iran, Islamic Rep.",Prevalence of undernourishment in the population  (%),2004-06,,5.8
Iraq,Prevalence of undernourishment in the population  (%),2004-06,,
Jamaica,Prevalence of undernourishment in the population  (%),2004-06,,7
Jordan,Prevalence of undernourishment in the population  (%),2004-06,1,2.9
Kazakhstan,Prevalence of undernourishment in the population  (%),2004-06,1,1
Kenya,Prevalence of undernourishment in the population  (%),2004-06,,32.9
Kuwait,Prevalence of undernourishment in the population  (%),2004-06,1,0.9
Kyrgyz Republic,Prevalence of undernourishment in the population  (%),2004-06,,9.4
Lao PDR,Prevalence of undernourishment in the population  (%),2004-06,,33.4
Latvia,Prevalence of undernourishment in the population  (%),2004-06,1,3.2
Lebanon,Prevalence of undernourishment in the population  (%),2004-06,1,3.3
Lesotho,Prevalence of undernourishment in the population  (%),2004-06,,16.3
Liberia,Prevalence of undernourishment in the population  (%),2004-06,,29.6
Libya,Prevalence of undernourishment in the population  (%),2004-06,1,1.4
Lithuania,Prevalence of undernourishment in the population  (%),2004-06,1,1.5
"Macedonia, FYR",Prevalence of undernourishment in the population  (%),2004-06,1,4.5
Madagascar,Prevalence of undernourishment in the population  (%),2004-06,,28.1
Malawi,Prevalence of undernourishment in the population  (%),2004-06,,24.7
Malaysia,Prevalence of undernourishment in the population  (%),2004-06,1,3.5
Mali,Prevalence of undernourishment in the population  (%),2004-06,,14.7
Mauritania,Prevalence of undernourishment in the population  (%),2004-06,,8.9
Mauritius,Prevalence of undernourishment in the population  (%),2004-06,,5.9
Mexico,Prevalence of undernourishment in the population  (%),2004-06,1,0.1
Moldova,Prevalence of undernourishment in the population  (%),2004-06,1,16.6
Mongolia,Prevalence of undernourishment in the population  (%),2004-06,,32.5
Montenegro,Prevalence of undernourishment in the population  (%),2004-06,,
Morocco,Prevalence of undernourishment in the population  (%),2004-06,,5.2
Mozambique,Prevalence of undernourishment in the population  (%),2004-06,,40.3
Myanmar,Prevalence of undernourishment in the population  (%),2004-06,,
Namibia,Prevalence of undernourishment in the population  (%),2004-06,,26.8
Nepal,Prevalence of undernourishment in the population  (%),2004-06,,21.7
Nicaragua,Prevalence of undernourishment in the population  (%),2004-06,,26.7
Niger,Prevalence of undernourishment in the population  (%),2004-06,,20
Nigeria,Prevalence of undernourishment in the population  (%),2004-06,,6.8
North Korea,Prevalence of undernourishment in the population  (%),2004-06,,36.1
Oman,Prevalence of undernourishment in the population  (%),2004-06,,
Pakistan,Prevalence of undernourishment in the population  (%),2004-06,,22.8
Panama,Prevalence of undernourishment in the population  (%),2004-06,,19.7
Papua New Guinea,Prevalence of undernourishment in the population  (%),2004-06,,
Paraguay,Prevalence of undernourishment in the population  (%),2004-06,,12.6
Peru,Prevalence of undernourishment in the population  (%),2004-06,,21.4
Philippines,Prevalence of undernourishment in the population  (%),2004-06,,18
Qatar,Prevalence of undernourishment in the population  (%),2004-06,,
Romania,Prevalence of undernourishment in the population  (%),2004-06,1,0.4
Russian Federation,Prevalence of undernourishment in the population  (%),2004-06,1,2
Rwanda,Prevalence of undernourishment in the population  (%),2004-06,,42.1
Saudi Arabia,Prevalence of undernourishment in the population  (%),2004-06,1,2
Senegal,Prevalence of undernourishment in the population  (%),2004-06,,16.9
Serbia,Prevalence of undernourishment in the population  (%),2004-06,,
Sierra Leone,Prevalence of undernourishment in the population  (%),2004-06,,35.5
Slovak Republic,Prevalence of undernourishment in the population  (%),2004-06,1,5.4
Somalia,Prevalence of undernourishment in the population  (%),2004-06,,
South Africa,Prevalence of undernourishment in the population  (%),2004-06,1,3.8
Sri Lanka,Prevalence of undernourishment in the population  (%),2004-06,,27.9
Sudan (former),Prevalence of undernourishment in the population  (%),2004-06,,32
Suriname,Prevalence of undernourishment in the population  (%),2004-06,,15.7
Swaziland,Prevalence of undernourishment in the population  (%),2004-06,,18.7
Syrian Arab Republic,Prevalence of undernourishment in the population  (%),2004-06,1,3.4
Tajikistan,Prevalence of undernourishment in the population  (%),2004-06,,34.3
Tanzania,Prevalence of undernourishment in the population  (%),2004-06,,35.1
Thailand,Prevalence of undernourishment in the population  (%),2004-06,,11.2
Timor-Leste,Prevalence of undernourishment in the population  (%),2004-06,,28.5
Togo,Prevalence of undernourishment in the population  (%),2004-06,,20.4
Trinidad & Tobago,Prevalence of undernourishment in the population  (%),2004-06,,13.3
Tunisia,Prevalence of undernourishment in the population  (%),2004-06,1,0.9
Turkey,Prevalence of undernourishment in the population  (%),2004-06,1,1
Turkmenistan,Prevalence of undernourishment in the population  (%),2004-06,,5.5
Uganda,Prevalence of undernourishment in the population  (%),2004-06,,27.9
Ukraine,Prevalence of undernourishment in the population  (%),2004-06,1,1.3
Uruguay,Prevalence of undernourishment in the population  (%),2004-06,1,4.6
Uzbekistan,Prevalence of undernourishment in the population  (%),2004-06,,9.8
"Venezuela, RB",Prevalence of undernourishment in the population  (%),2004-06,,9.7
Vietnam,Prevalence of undernourishment in the population  (%),2004-06,,15.6
"Yemen, Rep.",Prevalence of undernourishment in the population  (%),2004-06,,31.7
Zambia,Prevalence of undernourishment in the population  (%),2004-06,,48.3
Zimbabwe,Prevalence of undernourishment in the population  (%),2004-06,,38.2
Afghanistan,Prevalence of undernourishment in the population  (%),2010-12,,
Albania,Prevalence of undernourishment in the population  (%),2010-12,1,7.8
Algeria,Prevalence of undernourishment in the population  (%),2010-12,1,3.7
Angola,Prevalence of undernourishment in the population  (%),2010-12,,27.4
Argentina,Prevalence of undernourishment in the population  (%),2010-12,1,4
Armenia,Prevalence of undernourishment in the population  (%),2010-12,1,3
Azerbaijan,Prevalence of undernourishment in the population  (%),2010-12,1,1.5
Bahrain,Prevalence of undernourishment in the population  (%),2010-12,,
Bangladesh,Prevalence of undernourishment in the population  (%),2010-12,,16.8
Belarus,Prevalence of undernourishment in the population  (%),2010-12,1,0.4
Benin,Prevalence of undernourishment in the population  (%),2010-12,,8.1
Bhutan,Prevalence of undernourishment in the population  (%),2010-12,,
Bolivia,Prevalence of undernourishment in the population  (%),2010-12,,24.1
Bosnia & Herzegovina,Prevalence of undernourishment in the population  (%),2010-12,1,2.8
Botswana,Prevalence of undernourishment in the population  (%),2010-12,,27.9
Brazil,Prevalence of undernourishment in the population  (%),2010-12,,6.9
Bulgaria,Prevalence of undernourishment in the population  (%),2010-12,1,6.9
Burkina Faso,Prevalence of undernourishment in the population  (%),2010-12,,25.9
Burundi,Prevalence of undernourishment in the population  (%),2010-12,,73.4
Cambodia,Prevalence of undernourishment in the population  (%),2010-12,,17.1
Cameroon,Prevalence of undernourishment in the population  (%),2010-12,,15.7
Central African Rep.,Prevalence of undernourishment in the population  (%),2010-12,,30
Chad,Prevalence of undernourishment in the population  (%),2010-12,,33.4
Chile,Prevalence of undernourishment in the population  (%),2010-12,1,3.7
China,Prevalence of undernourishment in the population  (%),2010-12,,11.5
Colombia,Prevalence of undernourishment in the population  (%),2010-12,,12.6
Comoros,Prevalence of undernourishment in the population  (%),2010-12,,70
"Congo, Dem. Rep.",Prevalence of undernourishment in the population  (%),2010-12,,
"Congo, Rep.",Prevalence of undernourishment in the population  (%),2010-12,,37.4
Costa Rica,Prevalence of undernourishment in the population  (%),2010-12,,6.5
Croatia,Prevalence of undernourishment in the population  (%),2010-12,1,1.5
Cuba,Prevalence of undernourishment in the population  (%),2010-12,1,0.6
Côte d'Ivoire,Prevalence of undernourishment in the population  (%),2010-12,,21.4
Djibouti,Prevalence of undernourishment in the population  (%),2010-12,,19.8
Dominican Republic,Prevalence of undernourishment in the population  (%),2010-12,,15.4
Ecuador,Prevalence of undernourishment in the population  (%),2010-12,,18.3
"Egypt, Arab Rep.",Prevalence of undernourishment in the population  (%),2010-12,1,1.6
El Salvador,Prevalence of undernourishment in the population  (%),2010-12,,12.3
Eritrea,Prevalence of undernourishment in the population  (%),2010-12,,65.4
Estonia,Prevalence of undernourishment in the population  (%),2010-12,1,3.2
Ethiopia,Prevalence of undernourishment in the population  (%),2010-12,,40.2
Fiji,Prevalence of undernourishment in the population  (%),2010-12,1,3.8
Gabon,Prevalence of undernourishment in the population  (%),2010-12,,6.5
"Gambia, The",Prevalence of undernourishment in the population  (%),2010-12,,14.4
Georgia,Prevalence of undernourishment in the population  (%),2010-12,,24.7
Ghana,Prevalence of undernourishment in the population  (%),2010-12,1,3.4
Guatemala,Prevalence of undernourishment in the population  (%),2010-12,,30.4
Guinea,Prevalence of undernourishment in the population  (%),2010-12,,17.3
Guinea-Bissau,Prevalence of undernourishment in the population  (%),2010-12,,8.7
Guyana,Prevalence of undernourishment in the population  (%),2010-12,,5.1
Haiti,Prevalence of undernourishment in the population  (%),2010-12,,44.5
Honduras,Prevalence of undernourishment in the population  (%),2010-12,,9.6
India,Prevalence of undernourishment in the population  (%),2010-12,,17.5
Indonesia,Prevalence of undernourishment in the population  (%),2010-12,,8.6
"Iran, Islamic Rep.",Prevalence of undernourishment in the population  (%),2010-12,1,5
Iraq,Prevalence of undernourishment in the population  (%),2010-12,,
Jamaica,Prevalence of undernourishment in the population  (%),2010-12,,8.7
Jordan,Prevalence of undernourishment in the population  (%),2010-12,1,3.7
Kazakhstan,Prevalence of undernourishment in the population  (%),2010-12,1,0.5
Kenya,Prevalence of undernourishment in the population  (%),2010-12,,30.4
Kuwait,Prevalence of undernourishment in the population  (%),2010-12,1,1.6
Kyrgyz Republic,Prevalence of undernourishment in the population  (%),2010-12,,6.4
Lao PDR,Prevalence of undernourishment in the population  (%),2010-12,,27.8
Latvia,Prevalence of undernourishment in the population  (%),2010-12,1,4.1
Lebanon,Prevalence of undernourishment in the population  (%),2010-12,1,3.1
Lesotho,Prevalence of undernourishment in the population  (%),2010-12,,16.6
Liberia,Prevalence of undernourishment in the population  (%),2010-12,,31.4
Libya,Prevalence of undernourishment in the population  (%),2010-12,1,1.8
Lithuania,Prevalence of undernourishment in the population  (%),2010-12,1,1.1
"Macedonia, FYR",Prevalence of undernourishment in the population  (%),2010-12,1,4.7
Madagascar,Prevalence of undernourishment in the population  (%),2010-12,,33.4
Malawi,Prevalence of undernourishment in the population  (%),2010-12,,23.1
Malaysia,Prevalence of undernourishment in the population  (%),2010-12,1,3
Mali,Prevalence of undernourishment in the population  (%),2010-12,,7.9
Mauritania,Prevalence of undernourishment in the population  (%),2010-12,,9.3
Mauritius,Prevalence of undernourishment in the population  (%),2010-12,,5.7
Mexico,Prevalence of undernourishment in the population  (%),2010-12,1,2.1
Moldova,Prevalence of undernourishment in the population  (%),2010-12,1,23.3
Mongolia,Prevalence of undernourishment in the population  (%),2010-12,,24.2
Montenegro,Prevalence of undernourishment in the population  (%),2010-12,1,2.8
Morocco,Prevalence of undernourishment in the population  (%),2010-12,,5.5
Mozambique,Prevalence of undernourishment in the population  (%),2010-12,,39.2
Myanmar,Prevalence of undernourishment in the population  (%),2010-12,,
Namibia,Prevalence of undernourishment in the population  (%),2010-12,,33.9
Nepal,Prevalence of undernourishment in the population  (%),2010-12,,18
Nicaragua,Prevalence of undernourishment in the population  (%),2010-12,,20.1
Niger,Prevalence of undernourishment in the population  (%),2010-12,,12.6
Nigeria,Prevalence of undernourishment in the population  (%),2010-12,,8.5
North Korea,Prevalence of undernourishment in the population  (%),2010-12,,32
Oman,Prevalence of undernourishment in the population  (%),2010-12,,
Pakistan,Prevalence of undernourishment in the population  (%),2010-12,,19.9
Panama,Prevalence of undernourishment in the population  (%),2010-12,,10.2
Papua New Guinea,Prevalence of undernourishment in the population  (%),2010-12,,
Paraguay,Prevalence of undernourishment in the population  (%),2010-12,,25.5
Peru,Prevalence of undernourishment in the population  (%),2010-12,,11.2
Philippines,Prevalence of undernourishment in the population  (%),2010-12,,17
Qatar,Prevalence of undernourishment in the population  (%),2010-12,,
Romania,Prevalence of undernourishment in the population  (%),2010-12,1,0.4
Russian Federation,Prevalence of undernourishment in the population  (%),2010-12,1,1.7
Rwanda,Prevalence of undernourishment in the population  (%),2010-12,,28.9
Saudi Arabia,Prevalence of undernourishment in the population  (%),2010-12,1,2.6
Senegal,Prevalence of undernourishment in the population  (%),2010-12,,20.5
Serbia,Prevalence of undernourishment in the population  (%),2010-12,,4.9
Sierra Leone,Prevalence of undernourishment in the population  (%),2010-12,,28.8
Slovak Republic,Prevalence of undernourishment in the population  (%),2010-12,1,4.5
Somalia,Prevalence of undernourishment in the population  (%),2010-12,,
South Africa,Prevalence of undernourishment in the population  (%),2010-12,1,2.9
Sri Lanka,Prevalence of undernourishment in the population  (%),2010-12,,24
Sudan (former),Prevalence of undernourishment in the population  (%),2010-12,,39.4
Suriname,Prevalence of undernourishment in the population  (%),2010-12,,11.4
Swaziland,Prevalence of undernourishment in the population  (%),2010-12,,27
Syrian Arab Republic,Prevalence of undernourishment in the population  (%),2010-12,1,3.2
Tajikistan,Prevalence of undernourishment in the population  (%),2010-12,,31.7
Tanzania,Prevalence of undernourishment in the population  (%),2010-12,,38.8
Thailand,Prevalence of undernourishment in the population  (%),2010-12,,7.3
Timor-Leste,Prevalence of undernourishment in the population  (%),2010-12,,38.2
Togo,Prevalence of undernourishment in the population  (%),2010-12,,16.5
Trinidad & Tobago,Prevalence of undernourishment in the population  (%),2010-12,,9.3
Tunisia,Prevalence of undernourishment in the population  (%),2010-12,1,0.9
Turkey,Prevalence of undernourishment in the population  (%),2010-12,1,0.9
Turkmenistan,Prevalence of undernourishment in the population  (%),2010-12,1,3.4
Uganda,Prevalence of undernourishment in the population  (%),2010-12,,34.6
Ukraine,Prevalence of undernourishment in the population  (%),2010-12,1,0.9
Uruguay,Prevalence of undernourishment in the population  (%),2010-12,1,5
Uzbekistan,Prevalence of undernourishment in the population  (%),2010-12,,6.1
"Venezuela, RB",Prevalence of undernourishment in the population  (%),2010-12,1,2.7
Vietnam,Prevalence of undernourishment in the population  (%),2010-12,,9
"Yemen, Rep.",Prevalence of undernourishment in the population  (%),2010-12,,32.4
Zambia,Prevalence of undernourishment in the population  (%),2010-12,,47.4
Zimbabwe,Prevalence of undernourishment in the population  (%),2010-12,,32.8
Afghanistan,Prevalence of underweight in children under five years  (%),1988-92,,
Albania,Prevalence of underweight in children under five years  (%),1988-92,1,14.5
Algeria,Prevalence of underweight in children under five years  (%),1988-92,,9.2
Angola,Prevalence of underweight in children under five years  (%),1988-92,1,30.4
Argentina,Prevalence of underweight in children under five years  (%),1988-92,1,3.5
Armenia,Prevalence of underweight in children under five years  (%),1988-92,,
Azerbaijan,Prevalence of underweight in children under five years  (%),1988-92,,
Bahrain,Prevalence of underweight in children under five years  (%),1988-92,,6.3
Bangladesh,Prevalence of underweight in children under five years  (%),1988-92,,61.5
Belarus,Prevalence of underweight in children under five years  (%),1988-92,,
Benin,Prevalence of underweight in children under five years  (%),1988-92,1,27.3
Bhutan,Prevalence of underweight in children under five years  (%),1988-92,,34
Bolivia,Prevalence of underweight in children under five years  (%),1988-92,,9.7
Bosnia & Herzegovina,Prevalence of underweight in children under five years  (%),1988-92,,
Botswana,Prevalence of underweight in children under five years  (%),1988-92,1,17.8
Brazil,Prevalence of underweight in children under five years  (%),1988-92,,5.3
Bulgaria,Prevalence of underweight in children under five years  (%),1988-92,1,2.1
Burkina Faso,Prevalence of underweight in children under five years  (%),1988-92,1,36.9
Burundi,Prevalence of underweight in children under five years  (%),1988-92,1,34.2
Cambodia,Prevalence of underweight in children under five years  (%),1988-92,1,44.9
Cameroon,Prevalence of underweight in children under five years  (%),1988-92,,18
Central African Rep.,Prevalence of underweight in children under five years  (%),1988-92,1,25.7
Chad,Prevalence of underweight in children under five years  (%),1988-92,1,34.6
Chile,Prevalence of underweight in children under five years  (%),1988-92,1,1
China,Prevalence of underweight in children under five years  (%),1988-92,,12.6
Colombia,Prevalence of underweight in children under five years  (%),1988-92,,8.8
Comoros,Prevalence of underweight in children under five years  (%),1988-92,,16.2
"Congo, Dem. Rep.",Prevalence of underweight in children under five years  (%),1988-92,1,21.4
"Congo, Rep.",Prevalence of underweight in children under five years  (%),1988-92,1,16.4
Costa Rica,Prevalence of underweight in children under five years  (%),1988-92,,2.5
Croatia,Prevalence of underweight in children under five years  (%),1988-92,,
Cuba,Prevalence of underweight in children under five years  (%),1988-92,1,3.6
Côte d'Ivoire,Prevalence of underweight in children under five years  (%),1988-92,1,20
Djibouti,Prevalence of underweight in children under five years  (%),1988-92,,20.2
Dominican Republic,Prevalence of underweight in children under five years  (%),1988-92,,8.4
Ecuador,Prevalence of underweight in children under five years  (%),1988-92,1,12.2
"Egypt, Arab Rep.",Prevalence of underweight in children under five years  (%),1988-92,,10.5
El Salvador,Prevalence of underweight in children under five years  (%),1988-92,,11.1
Eritrea,Prevalence of underweight in children under five years  (%),1988-92,,
Estonia,Prevalence of underweight in children under five years  (%),1988-92,,
Ethiopia,Prevalence of underweight in children under five years  (%),1988-92,,39.2
Fiji,Prevalence of underweight in children under five years  (%),1988-92,1,8.1
Gabon,Prevalence of underweight in children under five years  (%),1988-92,1,9.7
"Gambia, The",Prevalence of underweight in children under five years  (%),1988-92,1,21.3
Georgia,Prevalence of underweight in children under five years  (%),1988-92,,
Ghana,Prevalence of underweight in children under five years  (%),1988-92,,24
Guatemala,Prevalence of underweight in children under five years  (%),1988-92,1,21.1
Guinea,Prevalence of underweight in children under five years  (%),1988-92,1,23
Guinea-Bissau,Prevalence of underweight in children under five years  (%),1988-92,1,22
Guyana,Prevalence of underweight in children under five years  (%),1988-92,1,17
Haiti,Prevalence of underweight in children under five years  (%),1988-92,,23.7
Honduras,Prevalence of underweight in children under five years  (%),1988-92,,15.8
India,Prevalence of underweight in children under five years  (%),1988-92,,59.5
Indonesia,Prevalence of underweight in children under five years  (%),1988-92,,31
"Iran, Islamic Rep.",Prevalence of underweight in children under five years  (%),1988-92,1,16
Iraq,Prevalence of underweight in children under five years  (%),1988-92,,10.4
Jamaica,Prevalence of underweight in children under five years  (%),1988-92,,5.2
Jordan,Prevalence of underweight in children under five years  (%),1988-92,,4.8
Kazakhstan,Prevalence of underweight in children under five years  (%),1988-92,,
Kenya,Prevalence of underweight in children under five years  (%),1988-92,1,18.7
Kuwait,Prevalence of underweight in children under five years  (%),1988-92,1,6.7
Kyrgyz Republic,Prevalence of underweight in children under five years  (%),1988-92,,
Lao PDR,Prevalence of underweight in children under five years  (%),1988-92,1,40.9
Latvia,Prevalence of underweight in children under five years  (%),1988-92,,
Lebanon,Prevalence of underweight in children under five years  (%),1988-92,1,5.9
Lesotho,Prevalence of underweight in children under five years  (%),1988-92,,13.8
Liberia,Prevalence of underweight in children under five years  (%),1988-92,1,13.3
Libya,Prevalence of underweight in children under five years  (%),1988-92,1,7.7
Lithuania,Prevalence of underweight in children under five years  (%),1988-92,,
"Macedonia, FYR",Prevalence of underweight in children under five years  (%),1988-92,,
Madagascar,Prevalence of underweight in children under five years  (%),1988-92,,35.5
Malawi,Prevalence of underweight in children under five years  (%),1988-92,,24.4
Malaysia,Prevalence of underweight in children under five years  (%),1988-92,,22.1
Mali,Prevalence of underweight in children under five years  (%),1988-92,1,31.2
Mauritania,Prevalence of underweight in children under five years  (%),1988-92,,43.3
Mauritius,Prevalence of underweight in children under five years  (%),1988-92,1,14.4
Mexico,Prevalence of underweight in children under five years  (%),1988-92,,13.9
Moldova,Prevalence of underweight in children under five years  (%),1988-92,,
Mongolia,Prevalence of underweight in children under five years  (%),1988-92,,10.8
Montenegro,Prevalence of underweight in children under five years  (%),1988-92,,
Morocco,Prevalence of underweight in children under five years  (%),1988-92,,8.1
Mozambique,Prevalence of underweight in children under five years  (%),1988-92,1,28.3
Myanmar,Prevalence of underweight in children under five years  (%),1988-92,,28.8
Namibia,Prevalence of underweight in children under five years  (%),1988-92,,21.5
Nepal,Prevalence of underweight in children under five years  (%),1988-92,1,44.6
Nicaragua,Prevalence of underweight in children under five years  (%),1988-92,1,10.5
Niger,Prevalence of underweight in children under five years  (%),1988-92,,41
Nigeria,Prevalence of underweight in children under five years  (%),1988-92,,35.1
North Korea,Prevalence of underweight in children under five years  (%),1988-92,1,26.4
Oman,Prevalence of underweight in children under five years  (%),1988-92,,21.4
Pakistan,Prevalence of underweight in children under five years  (%),1988-92,,39
Panama,Prevalence of underweight in children under five years  (%),1988-92,1,8.8
Papua New Guinea,Prevalence of underweight in children under five years  (%),1988-92,1,19.2
Paraguay,Prevalence of underweight in children under five years  (%),1988-92,,2.8
Peru,Prevalence of underweight in children under five years  (%),1988-92,,8.8
Philippines,Prevalence of underweight in children under five years  (%),1988-92,,29.9
Qatar,Prevalence of underweight in children under five years  (%),1988-92,,
Romania,Prevalence of underweight in children under five years  (%),1988-92,,5
Russian Federation,Prevalence of underweight in children under five years  (%),1988-92,,
Rwanda,Prevalence of underweight in children under five years  (%),1988-92,,24.3
Saudi Arabia,Prevalence of underweight in children under five years  (%),1988-92,1,12.3
Senegal,Prevalence of underweight in children under five years  (%),1988-92,,19
Serbia,Prevalence of underweight in children under five years  (%),1988-92,,
Sierra Leone,Prevalence of underweight in children under five years  (%),1988-92,,25.4
Slovak Republic,Prevalence of underweight in children under five years  (%),1988-92,,
Somalia,Prevalence of underweight in children under five years  (%),1988-92,,
South Africa,Prevalence of underweight in children under five years  (%),1988-92,1,10.4
Sri Lanka,Prevalence of underweight in children under five years  (%),1988-92,1,30.1
Sudan (former),Prevalence of underweight in children under five years  (%),1988-92,1,36.7
Suriname,Prevalence of underweight in children under five years  (%),1988-92,1,10.9
Swaziland,Prevalence of underweight in children under five years  (%),1988-92,1,6.9
Syrian Arab Republic,Prevalence of underweight in children under five years  (%),1988-92,1,14.6
Tajikistan,Prevalence of underweight in children under five years  (%),1988-92,,
Tanzania,Prevalence of underweight in children under five years  (%),1988-92,,25.1
Thailand,Prevalence of underweight in children under five years  (%),1988-92,1,16.6
Timor-Leste,Prevalence of underweight in children under five years  (%),1988-92,,
Togo,Prevalence of underweight in children under five years  (%),1988-92,,21.5
Trinidad & Tobago,Prevalence of underweight in children under five years  (%),1988-92,1,7.9
Tunisia,Prevalence of underweight in children under five years  (%),1988-92,,8.5
Turkey,Prevalence of underweight in children under five years  (%),1988-92,1,6.4
Turkmenistan,Prevalence of underweight in children under five years  (%),1988-92,,
Uganda,Prevalence of underweight in children under five years  (%),1988-92,,19.7
Ukraine,Prevalence of underweight in children under five years  (%),1988-92,,
Uruguay,Prevalence of underweight in children under five years  (%),1988-92,1,6.8
Uzbekistan,Prevalence of underweight in children under five years  (%),1988-92,,
"Venezuela, RB",Prevalence of underweight in children under five years  (%),1988-92,,6.7
Vietnam,Prevalence of underweight in children under five years  (%),1988-92,,40.7
"Yemen, Rep.",Prevalence of underweight in children under five years  (%),1988-92,1,48.1
Zambia,Prevalence of underweight in children under five years  (%),1988-92,,21.2
Zimbabwe,Prevalence of underweight in children under five years  (%),1988-92,,8
Afghanistan,Prevalence of underweight in children under five years  (%),1993-97,,44.9
Albania,Prevalence of underweight in children under five years  (%),1993-97,1,12.1
Algeria,Prevalence of underweight in children under five years  (%),1993-97,,11.3
Angola,Prevalence of underweight in children under five years  (%),1993-97,,37
Argentina,Prevalence of underweight in children under five years  (%),1993-97,,3.2
Armenia,Prevalence of underweight in children under five years  (%),1993-97,1,5.4
Azerbaijan,Prevalence of underweight in children under five years  (%),1993-97,,8.8
Bahrain,Prevalence of underweight in children under five years  (%),1993-97,,7.6
Bangladesh,Prevalence of underweight in children under five years  (%),1993-97,,58
Belarus,Prevalence of underweight in children under five years  (%),1993-97,1,1.5
Benin,Prevalence of underweight in children under five years  (%),1993-97,,26.8
Bhutan,Prevalence of underweight in children under five years  (%),1993-97,1,26.1
Bolivia,Prevalence of underweight in children under five years  (%),1993-97,,10
Bosnia & Herzegovina,Prevalence of underweight in children under five years  (%),1993-97,1,4.1
Botswana,Prevalence of underweight in children under five years  (%),1993-97,,15.1
Brazil,Prevalence of underweight in children under five years  (%),1993-97,,4.5
Bulgaria,Prevalence of underweight in children under five years  (%),1993-97,1,2.6
Burkina Faso,Prevalence of underweight in children under five years  (%),1993-97,,29.6
Burundi,Prevalence of underweight in children under five years  (%),1993-97,1,38.3
Cambodia,Prevalence of underweight in children under five years  (%),1993-97,,42.6
Cameroon,Prevalence of underweight in children under five years  (%),1993-97,1,20
Central African Rep.,Prevalence of underweight in children under five years  (%),1993-97,,20.4
Chad,Prevalence of underweight in children under five years  (%),1993-97,,34.3
Chile,Prevalence of underweight in children under five years  (%),1993-97,,0.8
China,Prevalence of underweight in children under five years  (%),1993-97,,10.7
Colombia,Prevalence of underweight in children under five years  (%),1993-97,,6.3
Comoros,Prevalence of underweight in children under five years  (%),1993-97,,22.3
"Congo, Dem. Rep.",Prevalence of underweight in children under five years  (%),1993-97,,30.7
"Congo, Rep.",Prevalence of underweight in children under five years  (%),1993-97,1,15.8
Costa Rica,Prevalence of underweight in children under five years  (%),1993-97,,3.2
Croatia,Prevalence of underweight in children under five years  (%),1993-97,,0.5
Cuba,Prevalence of underweight in children under five years  (%),1993-97,1,5
Côte d'Ivoire,Prevalence of underweight in children under five years  (%),1993-97,,20.9
Djibouti,Prevalence of underweight in children under five years  (%),1993-97,,16
Dominican Republic,Prevalence of underweight in children under five years  (%),1993-97,,4.7
Ecuador,Prevalence of underweight in children under five years  (%),1993-97,1,12
"Egypt, Arab Rep.",Prevalence of underweight in children under five years  (%),1993-97,,10.8
El Salvador,Prevalence of underweight in children under five years  (%),1993-97,,7.2
Eritrea,Prevalence of underweight in children under five years  (%),1993-97,,38.3
Estonia,Prevalence of underweight in children under five years  (%),1993-97,1,1
Ethiopia,Prevalence of underweight in children under five years  (%),1993-97,1,43.9
Fiji,Prevalence of underweight in children under five years  (%),1993-97,,6.9
